Tester,HT_Status,Status_1,Status_2,Status_3,Status_4,Status_5,Status_6,Status_7,Status_8,Status_9,Status_10,Status_11,Status_12,Jam_1,Jam_2,Jam_3,Jam_4,Jam_5,Jam_6,Jam_7,Jam_8,Jam_9,Jam_10,Jam_11,Jam_12,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Shuttle_Jam_1,Shuttle_Jam_2,Shuttle_Total_1,Shuttle_Total_2,AlarmMsg,Datetime
QAMT219,RUNNING,1,1,1,M,1,1,N,N,N,N,N,N,2,0,10,0,0,9,0,0,0,0,0,0,315,313,302,202,302,308,0,0,0,0,0,0,1,0,1740,1740,,2024/08/31 00:02:48
QAMT218,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,1,0,0,0,0,0,0,0,0,0,168,168,153,166,164,163,0,0,0,0,0,0,0,0,981,981,No 3  Tester socket IC put jam,2024/08/31 00:09:55
QAMT188,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,7,0,0,0,0,0,0,0,0,0,0,263,264,263,264,270,264,0,0,0,0,0,0,0,0,1585,1585,2 號測試治具 IC 沒有放好錯誤,2024/08/31 00:10:38
QAMT218,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,1,0,0,0,0,0,0,0,0,0,168,168,153,166,164,163,0,0,0,0,0,0,0,0,981,981,,2024/08/31 00:10:22
QAMT219,PAUSE,1,1,1,M,1,1,N,N,N,N,N,N,2,0,10,0,0,9,0,0,0,0,0,0,320,319,308,202,308,313,0,0,0,0,0,0,1,0,1770,1770,,2024/08/31 00:11:01
QAMT219,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,2,0,10,0,0,9,0,0,0,0,0,0,320,319,308,0,308,313,0,0,0,0,0,0,1,0,1770,1770,,2024/08/31 00:11:03
QAMT188,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,7,0,0,0,0,0,0,0,0,0,0,263,264,263,264,270,264,0,0,0,0,0,0,0,0,1585,1585,,2024/08/31 00:14:00
QAMT188,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,8,0,0,0,0,0,0,0,0,0,0,264,265,264,265,271,265,0,0,0,0,0,0,0,0,1591,1591,2 號測試治具 IC 沒有放好錯誤,2024/08/31 00:14:55
QAMT188,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,8,0,0,0,0,0,0,0,0,0,0,264,265,264,265,271,265,0,0,0,0,0,0,0,0,1591,1591,,2024/08/31 00:18:40
QAMT188,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,8,0,0,0,0,0,0,0,0,0,0,264,265,264,266,271,266,0,0,0,0,0,0,0,0,1591,1591,,2024/08/31 00:18:48
QAMT219,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,2,0,10,0,0,10,0,0,0,0,0,0,330,329,319,7,317,323,0,0,0,0,0,0,1,0,1826,1826,No 6  Tester socket IC put jam,2024/08/31 00:27:52
QAMT219,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,2,0,10,0,0,10,0,0,0,0,0,0,330,329,319,7,317,323,0,0,0,0,0,0,1,0,1826,1826,,2024/08/31 00:29:29
QAMT219,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,2,0,11,0,0,10,0,0,0,0,0,0,335,334,324,12,322,328,0,0,0,0,0,0,1,0,1854,1854,No 3  Tester socket IC put jam,2024/08/31 00:36:54
QAMT219,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,2,0,11,0,0,10,0,0,0,0,0,0,335,334,324,12,322,328,0,0,0,0,0,0,1,0,1854,1854,,2024/08/31 00:38:29
QAMT219,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,2,0,11,0,0,11,0,0,0,0,0,0,336,336,325,12,323,329,0,0,0,0,0,0,1,0,1860,1860,No 6  Tester socket IC put jam,2024/08/31 00:40:00
QAMT219,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,2,0,11,0,0,11,0,0,0,0,0,0,336,336,325,12,323,329,0,0,0,0,0,0,1,0,1860,1860,,2024/08/31 00:40:28
QAMT188,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,9,0,0,0,0,0,0,0,0,0,0,291,292,289,291,297,292,0,0,0,0,0,0,0,0,1750,1750,2 號測試治具 IC 沒有放好錯誤,2024/08/31 00:42:30
QAMT188,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,9,0,0,0,0,0,0,0,0,0,0,291,292,289,291,297,292,0,0,0,0,0,0,0,0,1750,1750,,2024/08/31 00:44:32
QAMT188,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,9,0,0,0,0,0,0,0,0,0,0,291,292,290,292,298,293,0,0,0,0,0,0,0,0,1750,1750,,2024/08/31 00:44:41
QAMT219,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,2,0,11,0,0,12,0,0,0,0,0,0,339,338,327,14,326,331,0,0,0,0,0,0,1,0,1875,1875,No 6  Tester socket IC put jam,2024/08/31 00:44:48
QAMT219,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,2,0,11,0,0,12,0,0,0,0,0,0,339,338,327,14,326,331,0,0,0,0,0,0,1,0,1875,1875,,2024/08/31 00:46:15
QAMT219,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,2,0,11,0,0,12,0,0,0,0,0,0,339,338,327,14,326,331,0,0,0,0,0,0,1,0,1875,1875,,2024/08/31 00:46:21
QAMT218,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,1,0,0,0,0,0,0,0,0,0,191,193,173,189,186,185,0,0,0,0,0,0,0,0,1116,1116,,2024/08/31 00:51:05
QAMT218,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,1,0,0,0,0,0,0,0,0,0,191,193,173,189,186,185,0,0,0,0,0,0,0,0,1116,1116,,2024/08/31 00:51:27
QAMT218,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,1,0,0,0,0,0,0,0,0,0,191,194,174,189,187,186,0,0,0,0,0,0,0,0,1120,1120,,2024/08/31 00:51:58
QAMT218,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,1,0,0,0,0,0,0,0,0,0,191,194,174,189,187,186,0,0,0,0,0,0,0,0,1120,1120,,2024/08/31 00:52:24
QAMT219,ALARM,1,1,1,A,1,1,N,N,N,N,N,N,2,0,12,0,0,12,0,0,0,0,0,0,345,346,336,19,335,336,0,0,0,0,0,0,1,0,1918,1918,No 3  Tester socket IC put jam,2024/08/31 00:58:29
QAMT219,PAUSE,1,1,1,A,1,1,N,N,N,N,N,N,2,0,12,0,0,12,0,0,0,0,0,0,345,346,336,19,335,336,0,0,0,0,0,0,1,0,1918,1918,,2024/08/31 00:58:32
QAMT219,RUNNING,1,1,1,A,1,1,N,N,N,N,N,N,2,0,12,0,0,12,0,0,0,0,0,0,345,346,336,19,335,336,0,0,0,0,0,0,1,0,1918,1918,,2024/08/31 00:58:39
QAMT188,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,10,0,0,0,0,0,0,0,0,0,0,322,324,321,323,330,324,0,0,0,0,0,0,0,0,1942,1942,2 號測試治具 IC 沒有放好錯誤,2024/08/31 01:14:03
QAMT188,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,10,0,0,0,0,0,0,0,0,0,0,322,324,321,323,330,324,0,0,0,0,0,0,0,0,1942,1942,,2024/08/31 01:18:58
QAMT188,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,10,0,0,0,0,0,0,0,0,0,0,322,324,322,324,330,325,0,0,0,0,0,0,0,0,1942,1942,,2024/08/31 01:19:16
QAMT188,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,11,0,0,0,0,0,0,0,0,0,0,323,325,323,324,331,325,0,0,0,0,0,0,0,0,1948,1948,2 號測試治具 IC 沒有放好錯誤,2024/08/31 01:20:11
QAMT188,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,11,0,0,0,0,0,0,0,0,0,0,323,325,323,324,331,325,0,0,0,0,0,0,0,0,1948,1948,,2024/08/31 01:20:21
QAMT188,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,11,0,0,0,0,0,0,0,0,0,0,323,325,323,325,331,326,0,0,0,0,0,0,0,0,1948,1948,,2024/08/31 01:20:30
QAMT219,ALARM,1,1,1,A,1,1,N,N,N,N,N,N,2,0,12,0,0,13,0,0,0,0,0,0,363,364,355,19,354,357,0,0,0,0,0,0,1,0,2013,2013,No 6  Tester socket IC put jam,2024/08/31 01:29:05
QAMT219,RUNNING,1,1,1,A,1,1,N,N,N,N,N,N,2,0,12,0,0,13,0,0,0,0,0,0,363,364,355,19,354,357,0,0,0,0,0,0,1,0,2013,2013,,2024/08/31 01:30:55
QAMT188,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,11,0,0,0,0,0,0,0,0,0,0,346,347,345,347,354,348,0,0,0,0,0,0,0,0,2087,2087,,2024/08/31 01:41:24
QAMT188,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,11,0,0,0,0,0,0,0,0,0,0,346,347,345,347,354,348,0,0,0,0,0,0,0,0,2087,2087,,2024/08/31 01:42:09
QAMT188,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,11,0,0,0,0,0,0,0,0,0,0,347,348,346,348,355,349,0,0,0,0,0,0,0,0,2088,2088,"入料狀態已被改變,是否重新搜尋?",2024/08/31 01:42:22
QAMT188,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,11,0,0,0,0,0,0,0,0,0,0,347,348,346,348,355,349,0,0,0,0,0,0,0,0,2088,2088,,2024/08/31 01:42:30
QAMT219,ALARM,1,1,1,A,1,1,N,N,N,N,N,N,2,0,13,0,0,13,0,0,0,0,0,0,371,373,365,19,364,365,0,0,0,0,0,0,1,0,2057,2057,No 3  Tester socket IC put jam,2024/08/31 01:44:34
QAMT219,RUNNING,1,1,1,A,1,1,N,N,N,N,N,N,2,0,13,0,0,13,0,0,0,0,0,0,371,373,365,19,364,365,0,0,0,0,0,0,1,0,2057,2057,,2024/08/31 01:45:30
QAMT219,ALARM,1,1,1,A,1,1,N,N,N,N,N,N,2,0,14,0,0,13,0,0,0,0,0,0,376,379,371,19,368,371,0,0,0,0,0,0,1,0,2084,2084,No 3  Tester socket IC put jam,2024/08/31 01:54:29
QAMT219,RUNNING,1,1,1,A,1,1,N,N,N,N,N,N,2,0,14,0,0,13,0,0,0,0,0,0,376,379,371,19,368,371,0,0,0,0,0,0,1,0,2084,2084,,2024/08/31 01:57:00
QAMT219,ALARM,1,1,1,A,1,1,N,N,N,N,N,N,2,0,14,0,0,14,0,0,0,0,0,0,378,381,372,19,370,373,0,0,0,0,0,0,1,0,2094,2094,No 6  Tester socket IC put jam,2024/08/31 02:00:00
QAMT219,RUNNING,1,1,1,A,1,1,N,N,N,N,N,N,2,0,14,0,0,14,0,0,0,0,0,0,378,382,372,19,371,373,0,0,0,0,0,0,1,0,2094,2094,,2024/08/31 02:00:25
QAMT219,PAUSE,1,1,1,A,1,1,N,N,N,N,N,N,2,0,14,0,0,14,0,0,0,0,0,0,387,390,380,19,377,381,0,0,0,0,0,0,1,0,2136,2136,,2024/08/31 02:14:01
QAMT219,RUNNING,1,1,1,A,1,1,N,N,N,N,N,N,2,0,14,0,0,14,0,0,0,0,0,0,387,390,380,19,377,381,0,0,0,0,0,0,1,0,2136,2136,,2024/08/31 02:14:41
QAMT219,ALARM,1,1,1,A,1,1,N,N,N,N,N,N,2,0,14,0,0,15,0,0,0,0,0,0,392,395,386,19,381,387,0,0,0,0,0,0,1,0,2161,2161,No 6  Tester socket IC put jam,2024/08/31 02:22:41
QAMT219,RUNNING,1,1,1,A,1,1,N,N,N,N,N,N,2,0,14,0,0,15,0,0,0,0,0,0,392,395,386,19,381,387,0,0,0,0,0,0,1,0,2161,2161,,2024/08/31 02:24:15
QAMT219,PAUSE,1,1,1,A,1,1,N,N,N,N,N,N,2,0,14,0,0,15,0,0,0,0,0,0,412,418,408,19,402,407,0,0,0,0,0,0,1,0,2268,2268,,2024/08/31 02:58:03
QAMT219,RUNNING,1,1,1,A,1,1,N,N,N,N,N,N,2,0,14,0,0,15,0,0,0,0,0,0,412,418,408,19,402,407,0,0,0,0,0,0,1,0,2268,2268,,2024/08/31 02:59:08
QAMT218,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,1,0,0,0,0,0,0,0,0,0,264,268,240,262,258,256,0,0,0,0,0,0,0,0,1548,1548,System Error--SysErr_SafeDoor the front side,2024/08/31 03:00:59
QAMT218,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,1,0,0,0,0,0,0,0,0,0,264,268,240,262,258,256,0,0,0,0,0,0,0,0,1548,1548,,2024/08/31 03:01:23
QAMT218,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,1,0,0,0,0,0,0,0,0,0,264,268,240,262,258,256,0,0,0,0,0,0,0,0,1548,1548,,2024/08/31 03:01:38
QAMT219,PAUSE,1,1,1,A,1,1,N,N,N,N,N,N,2,0,14,0,0,15,0,0,0,0,0,0,415,421,412,19,406,411,0,0,0,0,0,0,1,0,2286,2286,,2024/08/31 03:04:25
QAMT219,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,2,0,14,0,0,15,0,0,0,0,0,0,415,421,412,0,406,411,0,0,0,0,0,0,1,0,2286,2286,,2024/08/31 03:05:52
QAMT219,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,2,0,14,0,0,15,0,0,0,0,0,0,421,427,418,3,411,415,0,0,0,0,0,0,1,0,2315,2315,,2024/08/31 03:13:44
QAMT219,RUNNING,1,1,1,M,1,1,N,N,N,N,N,N,2,0,14,0,0,15,0,0,0,0,0,0,421,427,418,3,411,415,0,0,0,0,0,0,1,0,2315,2315,,2024/08/31 03:13:47
QAMT219,PAUSE,1,1,1,M,1,1,N,N,N,N,N,N,2,0,14,0,0,15,0,0,0,0,0,0,423,430,421,4,414,419,0,0,0,0,0,0,1,0,2332,2332,,2024/08/31 03:19:04
QAMT219,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,2,0,14,0,0,15,0,0,0,0,0,0,423,430,421,0,414,419,0,0,0,0,0,0,1,0,2332,2332,,2024/08/31 03:19:09
QAMT219,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,2,0,14,0,0,15,0,0,0,0,0,0,424,431,422,0,416,420,0,0,0,0,0,0,1,0,2336,2336,,2024/08/31 03:20:51
QAMT219,RUNNING,1,1,1,M,1,1,N,N,N,N,N,N,2,0,14,0,0,15,0,0,0,0,0,0,424,431,422,0,416,420,0,0,0,0,0,0,1,0,2336,2336,,2024/08/31 03:20:53
QAMT219,PAUSE,1,1,1,M,1,1,N,N,N,N,N,N,2,0,14,0,0,15,0,0,0,0,0,0,428,436,426,1,419,424,0,0,0,0,0,0,1,0,2358,2358,,2024/08/31 03:27:15
QAMT219,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,2,0,14,0,0,15,0,0,0,0,0,0,428,436,426,1,419,425,0,0,0,0,0,0,1,0,2358,2358,,2024/08/31 03:27:18
QAMT219,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,2,0,15,0,0,15,0,0,0,0,0,0,439,447,438,9,432,438,0,0,0,0,0,0,1,0,2426,2426,No 3  Tester socket IC put jam,2024/08/31 03:46:10
QAMT219,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,2,0,15,0,0,15,0,0,0,0,0,0,439,447,438,9,432,438,0,0,0,0,0,0,1,0,2426,2426,,2024/08/31 03:46:23
QAMT188,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,12,0,0,0,0,0,0,0,0,0,0,487,494,490,490,500,491,0,0,0,0,0,0,0,0,2950,2950,2 號測試治具 IC 沒有放好錯誤,2024/08/31 03:52:59
QAMT188,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,12,0,0,0,0,0,0,0,0,0,0,487,494,490,490,500,491,0,0,0,0,0,0,0,0,2950,2950,,2024/08/31 03:53:17
QAMT218,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,0,1,0,0,0,0,0,0,0,0,0,299,303,274,297,294,290,0,0,0,0,0,0,0,0,1755,1755,,2024/08/31 04:03:53
QAMT218,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,1,0,0,0,0,0,0,0,0,0,299,303,274,297,294,290,0,0,0,0,0,0,0,0,1755,1755,,2024/08/31 04:04:26
QAMT218,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,0,1,0,0,0,0,0,0,0,0,0,300,304,274,297,294,290,0,0,0,0,0,0,0,0,1756,1756,Detect Loader status change !Pick from start of tray?,2024/08/31 04:04:32
QAMT218,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,0,1,0,0,0,0,0,0,0,0,0,300,304,274,297,294,290,0,0,0,0,0,0,0,0,1756,1756,,2024/08/31 04:04:34
QAMT219,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,2,0,16,0,0,15,0,0,0,0,0,0,454,464,454,20,449,453,0,0,0,0,0,0,1,0,2516,2516,No 3  Tester socket IC put jam,2024/08/31 04:11:41
QAMT219,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,2,0,16,0,0,15,0,0,0,0,0,0,454,464,454,20,449,453,0,0,0,0,0,0,1,0,2516,2516,,2024/08/31 04:14:21
QAMT219,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,2,0,16,0,0,15,0,0,0,0,0,0,454,464,454,20,450,454,0,0,0,0,0,0,1,0,2516,2516,,2024/08/31 04:14:59
QAMT188,PAUSE,1,1,1,1,1,1,N,N,N,N,N,N,0,12,0,0,0,0,0,0,0,0,0,0,523,529,526,526,537,526,0,0,0,0,0,0,0,0,3167,3167,,2024/08/31 04:26:03
QAMT188,RUNNING,1,1,1,1,1,1,N,N,N,N,N,N,0,12,0,0,0,0,0,0,0,0,0,0,523,529,526,526,537,526,0,0,0,0,0,0,0,0,3167,3167,,2024/08/31 04:27:05
QAMT188,ALARM,1,1,1,1,1,1,N,N,N,N,N,N,0,12,0,0,0,0,0,0,0,0,0,0,524,530,527,527,538,527,0,0,0,0,0,0,0,0,3168,3168,"入料狀態已被改變,是否重新搜尋?",2024/08/31 04:27:22
