Tester,HT_Status,Status_1,Status_2,Status_3,Status_4,Status_5,Status_6,Status_7,Status_8,Status_9,Status_10,Status_11,Status_12,Jam_1,Jam_2,Jam_3,Jam_4,Jam_5,Jam_6,Jam_7,Jam_8,Jam_9,Jam_10,Jam_11,Jam_12,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Shuttle_Jam_1,Shuttle_Jam_2,Shuttle_Total_1,Shuttle_Total_2,AlarmMsg,Datetime
QAMT160,RUNNING,M,1,1,1,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,81,116,104,84,126,111,0,0,0,0,0,0,0,0,622,622,,2024-09-27 13:29:55
﻿QAMT216,IDLE,1,M,M,M,1,M,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-27 13:30:11
﻿QAMT156,PAUSE,1,1,1,1,1,A,N,N,N,N,N,N,2,0,0,0,2,3,0,0,0,0,0,0,116,259,273,284,263,197,0,0,0,0,0,0,0,0,1399,1399,,2024-09-27 13:31:04
﻿QAMT156,RUNNING,1,1,1,1,1,A,N,N,N,N,N,N,2,0,0,0,2,3,0,0,0,0,0,0,116,259,273,284,263,197,0,0,0,0,0,0,0,0,1399,1399,,2024-09-27 13:31:11
﻿QAMT115,PAUSE,1,1,1,1,A,1,N,N,N,N,N,N,12,11,2,10,38,5,0,0,0,0,0,0,453,357,89,374,434,461,0,0,0,0,0,0,0,0,2236,2236,,2024-09-27 13:31:06
﻿QAMT153,RUNNING,M,1,1,1,1,1,N,N,N,N,N,N,0,0,1,0,0,0,0,0,0,0,0,0,45,285,255,252,7,0,0,0,0,0,0,0,0,0,850,850,,2024-09-27 13:31:01
﻿QAMT181,ALARM,M,M,M,M,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,6,TranArmSuck1--吸嘴無法將產品吸起錯誤,2024-09-27 13:31:27
﻿QAMT116,PAUSE,A,1,1,1,1,1,N,N,N,N,N,N,0,1,0,0,25,0,0,0,0,0,0,0,334,672,675,667,677,676,0,0,0,0,0,0,0,0,4027,4027,,2024-09-27 13:31:28
﻿QAMT181,RUNNING,M,M,M,M,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,6,,2024-09-27 13:31:49
﻿QAMT181,RUNNING,M,M,M,M,1,1,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,6,,2024-09-27 13:31:49
