current_time,Ndate,Sdate,Shift,customer,tester,status,step,maxsites,runsiteqty,device,family,SE,Class,RowID
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMN01,RUN,MT        ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMN02,RUNP,MT        ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMN03,RUN,MT2       ,6,6,NT72335PG-VA/AAA,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMN04,RUNR,MT        ,6,0,SV72193BG/ABACU-V,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMN05,RUN,MT        ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMN06,RUN,MT2       ,6,6,NT72327PG/AAA,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMN07,RUN,MT        ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMN08,RUN,MT        ,6,6,NT72690TBG-8C2K/WBBAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMN09,RUN,MT        ,6,6,NT68300UMFG/CABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMN10,RUN,EQC3      ,6,6,SV72203TBG/WABAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMN11,RUN,MT        ,6,6,NT72690TBG-8C2K/WBBAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMN12,RUN,MT        ,6,6,NC98529BG/AAACU,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMN13,RUN,MT        ,8,8,NT72335PG-VA/AAA,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMN14,IDLE_L,MT        ,8,0,None,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMN15,RUN,MT        ,8,8,NT72326PG/AAA,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT01,RUNP,MT        ,6,5,MS7232SWU/2JAZAA20-L,MS7232,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT02,RUN,EQC       ,6,6,MT9602EAAT/MBZAHIA202020-H,5870,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT03,RUNP,MT        ,6,5,MT9649BAAT/BBZAHHB-H,5879,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT04,RUN,RT1       ,6,6,MT9270DAAJ/ABZBCA343434-MA2-H,5889,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT05,RUN,RT1       ,6,6,MT9653BACT/ABZAHHB-H,5879,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT06,DOWN,MT        ,6,0,MS7236OA0N/L0AZAA01-L,MS7236,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVO,QAMT07,RUNP,MT        ,6,5,N9H20K31N,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT08,DOWN,RT1       ,6,0,MT9010PBAT/BBZBHHA202020-H,5870,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT09,RUNP,MT        ,6,4,MS7245PA0U/H0AZAA20-L,MS7245,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT10,RUNP,MT        ,6,5,MT9653BACT/ABZAHHB-H,5879,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MSL,QAMT100,RUN,MT        ,6,6,MT9255BCAN/AAZBXDA2020-L,5862,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT101,RUN,MT        ,6,6,MT9603EAAT/ACZACC3434-H,5873,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT102,RUNP,MT2       ,6,2,MT9667KAAT/ABZBCA3434-MA2-H,5889,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT103,IDLE_L,RT1       ,6,0,MTK MT2,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT104,RUN,MT        ,6,6,MT9701KHSU/AGAHHB05-L,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT105,RUN,MT        ,6,6,MT9603EAAT/ADZACC3434-H,5873,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT106,RUN,MT        ,6,6,MT9010PBAT/BBZBHHA202020-H,5870,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT107,RUN,MT2       ,6,6,MT9364DNN/OLAHHA-L,9364,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT108,DOWN,EQC       ,6,0,MT9270DAAJ/ABZBCA343434-MA2-H,5889,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,NVT,QAMT109,RUN,RT1       ,6,6,NT72335PG-VA/AAA,,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT11,SETUPW,MT        ,6,0,MS7245CI7U/60AZAA20-L,MS7245,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT110,RUN,MT2       ,6,6,MT9375ANV/OHAHHD-M-H,9379,,,
2024/5/27 18:50:06,2024/5/27,2024/5/27,day,MTK,QAMT111,RUN,MT        ,6,6,MT9010PBAT/BBZBHHA202020-H,5870,,,
