current_time	Ndate	Sdate	Shift	customer	tester	status	step	maxsites	runsiteqty	device	family	SE	Class
2024/9/21 03:55	2024/9/21	2024/9/20	night	NVT	QAMN01	IDLE_L	RT2       	6	0	SV72203TBG/WABAACU	nan	None	B
2024/9/21 03:55	2024/9/21	2024/9/20	night	NVT	QAMN02	IDLE_L	EQC       	6	0	NT72202TBG-TZ/XABAACU	nan	None	B
2024/9/21 03:55	2024/9/21	2024/9/20	night	NVT	QAMN03	RUN	MT2       	6	6	NT72335PG-VA/AAA	nan	None	B
2024/9/21 03:55	2024/9/21	2024/9/20	night	NVT	QAMN04	IDLE_L	MT        	6	0	SV72193BG/ABACU-V	nan	None	B
2024/9/21 03:55	2024/9/21	2024/9/20	night	NVT	QAMN05	RUN	MT        	6	6	NT98692PG-ND/AAA	nan	None	B
2024/9/21 03:55	2024/9/21	2024/9/20	night	NVT	QAMN06	RUNP	MT2       	6	5	NC98529BG/AAACU	nan	None	B
2024/9/21 03:55	2024/9/21	2024/9/20	night	NVT	QAMN07	SETUP	EQC       	6	0	NT72676BG-WA/BABCU	nan	翁煥棋	B
2024/9/21 03:55	2024/9/21	2024/9/20	night	NVT	QAMN08	RUN	MT        	6	6	NT68304AUMBG/DACAACU	nan	None	B
2024/9/21 03:55	2024/9/21	2024/9/20	night	NVT	QAMN09	IDLE_L	MT        	6	0	NT68298UMFG/DABBACU	nan	None	B
2024/9/21 03:55	2024/9/21	2024/9/20	night	NVT	QAMN10	IDLE_L	MT3       	6	0	SV72203TBG/WABAACU	nan	None	B
2024/9/21 03:55	2024/9/21	2024/9/20	night	NVT	QAMN11	RUN	MT        	6	6	SV72194TBG/WABAACU	nan	None	B
2024/9/21 03:55	2024/9/21	2024/9/20	night	NVT	QAMN12	RUN	MT2       	6	6	NT72327PG/AAA	nan	None	B
2024/9/21 03:55	2024/9/21	2024/9/20	night	NVT	QAMN13	DOWN	RT1       	8	0	NT72335PG-D1/AAA	nan	None	B
2024/9/21 03:55	2024/9/21	2024/9/20	night	NVT	QAMN14	RUN	MT        	8	8	NT72335PG-D1/AAA	nan	None	B
