current_time	Ndate	Sdate	Shift	customer	tester	status	step	maxsites	runsiteqty	device	family	SE	Class
2024/9/26 16:35	2024/9/26	2024/9/26	day	NVT	QAMN01	IDLE_L	RT2       	6	0	SV72203TBG/WABAACU	nan	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	NVT	QAMN02	IDLE_L	EQC       	6	0	NT72202TBG-TZ/XABAACU	nan	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	NVT	QAMN03	RUN	MT2       	6	6	NT72335PG-D1/AAA	nan	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	NVT	QAMN04	IDLE_L	MT        	6	0	SV72193BG/ABACU-V	nan	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	NVT	QAMN05	IDLE_L	RT1       	6	0	NT98336BG/CBCCU	nan	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	NVT	QAMN06	RUNR	MT2       	6	0	NC98529BG/AAACU	nan	許聚廷	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	NVT	QAMN07	RUN	RT1       	6	6	NT72676BG-WA/BABCU	nan	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	NVT	QAMN08	IDLE_L	MT        	6	0	SV68307UTBG/BABAACU	nan	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	NVT	QAMN09	RUN	MT        	6	6	NT68300UMFG/CABAACU	nan	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	NVT	QAMN10	IDLE_L	MT3       	6	0	SV72203TBG/WABAACU	nan	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	NVT	QAMN11	RUN	MT        	6	6	SV72194TBG/WABAACU	nan	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	NVT	QAMN12	RUN	MT2       	6	6	NT72327PG/AAA	nan	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	NVT	QAMN13	RUN	MT        	8	8	NT72335PG-D1/AAA	nan	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	NVT	QAMN14	RUN	MT        	8	8	NT72335PG-VA/AAA	nan	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	NVT	QAMN15	RUN	MT        	8	8	NT72327PG/AAA	nan	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	MTK	QAMT01	RUN	EQC       	6	6	MS7232Z1N/52AZAA20-L	MS7232	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	MTK	QAMT02	RUN	EQC       	6	6	MT9602CAAT/KBZAHIA202020-H	5870	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	XSG	QAMT03	IDLE_L	RT1       	6	0	SSC375-V0	nan	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	MTK	QAMT04	RUN	RT2       	6	6	MT9667DAAJ/ABZBCA343434-H	5889	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	MTK	QAMT05	RUN	MT        	6	6	MT9653BADT/ABZAHHB-P-H	5879	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	MTK	QAMT06	IDLE_L	EQC       	6	0	MS7239OD5T/E1ZAHHB-I-H	MS7239	None	A
2024/9/26 16:35	2024/9/26	2024/9/26	day	NVO	QAMT07	REPAIR	RT3       	6	0		nan	蔡坤佑	A
