current_time,Ndate,Sdate,Shift,customer,tester,status,step,maxsites,runsiteqty,device,family,SE,Class
2024-06-26 07:55:09,2024-06-26,2024-06-26,day,NVT,QAMN01,RUN,MT        ,6,6,SV72203TBG/WABAACU,nan,None,A
2024-06-26 07:55:09,2024-06-26,2024-06-26,day,NVT,QAMN02,RUNP,MT        ,6,6,SV72203TBG/WABAACU,nan,None,A
2024-06-26 07:55:09,2024-06-26,2024-06-26,day,NVT,QAMN03,RUN,MT2       ,6,6,NT72335PG-VA/AAA,nan,None,A
2024-06-26 07:55:09,2024-06-26,2024-06-26,day,NVT,QAMN04,RUNP,RT1       ,6,4,SV72193BG/ABACU-V,nan,None,A
2024-06-26 07:55:09,2024-06-26,2024-06-26,day,NVT,QAMN05,RUN,MT        ,6,6,SV72203TBG/WABAACU,nan,None,A
2024-06-26 07:55:09,2024-06-26,2024-06-26,day,NVT,QAMN06,ENG,MT2       ,6,0,NT98631BG/CACCU,nan,None,A
2024-06-26 07:55:09,2024-06-26,2024-06-26,day,NVT,QAMN07,RUN,MT        ,6,6,SV72203TBG/WABAACU,nan,None,A
2024-06-26 07:55:09,2024-06-26,2024-06-26,day,NVT,QAMN08,RUN,MT        ,6,6,NT72690TBG-8C2K/WBBAACU,nan,None,A
2024-06-26 07:55:09,2024-06-26,2024-06-26,day,NVT,QAMN09,RUN,MT        ,6,6,NT68303UMFG/CABAACU,nan,None,A
2024-06-26 07:55:09,2024-06-26,2024-06-26,day,NVT,QAMN10,RUN,EQC3      ,6,6,SV72203TBG/WABAACU,nan,None,A
2024-06-26 07:55:09,2024-06-26,2024-06-26,day,NVT,QAMN11,RUN,RT2       ,6,6,NT72690TBG-8Z2K/WBBAACU,nan,None,A
2024-06-26 07:55:09,2024-06-26,2024-06-26,day,NVT,QAMN12,RUN,MT        ,6,6,NC98529BG/AAACU,nan,None,A
2024-06-26 07:55:09,2024-06-26,2024-06-26,day,NVT,QAMN13,RUN,MT        ,8,8,NT72335PG-VB/AAA,nan,None,A
2024-06-26 07:55:09,2024-06-26,2024-06-26,day,NVT,QAMN14,IDLE_L,MT        ,8,0,None,nan,None,A
2024-06-26 07:55:09,2024-06-26,2024-06-26,day,NVT,QAMN15,IDLE_L,MT        ,8,0,None,nan,None,A
